video_id,cluster,cluster_id,fusion_strategy,k_selected
XHIS7Qj0WFM,0,0,concat,6
XHgb4EHBBd8,0,0,concat,6
XQ06ljstGog,0,0,concat,6
XTUwxIc9WKc,0,0,concat,6
XX8MHws3-5E,0,0,concat,6
Xdoxvtzx3z0,0,0,concat,6
XeDo4CCgDmQ,0,0,concat,6
XhJIlKQ-M5Y,0,0,concat,6
XpAVZnGcMIo,0,0,concat,6
XqdAW6BSxtI,0,0,concat,6
Xr9WeAxEYAk,0,0,concat,6
XugnsfxOHCY,0,0,concat,6
Xv6Fi3-HdX4,0,0,concat,6
XyioAB3kUjA,0,0,concat,6
XyrsrmFZ5jM,0,0,concat,6
Y1Sy67bOuVw,0,0,concat,6
Y8FLo32Gky0,0,0,concat,6
YJ6Ec4CtrnI,0,0,concat,6
YJuuONNroNo,0,0,concat,6
YN4rfmzs2Pc,0,0,concat,6
YPukcFB_Sl8,0,0,concat,6
YRezvQL63uw,0,0,concat,6
YSkYv3_kspk,0,0,concat,6
YZRxHg-lZDk,0,0,concat,6
Ys5phJ56Kn4,0,0,concat,6
Ysimo6cNrPE,0,0,concat,6
YtoAYfpSZ8c,0,0,concat,6
Z0YaxdbTQdY,0,0,concat,6
ZCg4o37iYw0,0,0,concat,6
ZImM6Enk4C8,0,0,concat,6
ZLM-43ueEZY,0,0,concat,6
ZTTxENTGhSc,0,0,concat,6
ZTfGtrdbEvA,0,0,concat,6
ZUbz95IaZy0,0,0,concat,6
ZVKNhC70pTI,0,0,concat,6
ZW--Fm_HaNs,0,0,concat,6
Z_f3mxa1R98,0,0,concat,6
ZbbFbgfPi4U,0,0,concat,6
ZfdEqxXQfmc,0,0,concat,6
ZgSja8-w5mU,0,0,concat,6
ZgyvUs1Fju0,0,0,concat,6
ZiJ7M-zfVow,0,0,concat,6
ZiVvbzEEPSE,0,0,concat,6
Znq56taiN7E,0,0,concat,6
ZwJ7cAhR-AQ,0,0,concat,6
ZxqjOYGcriA,0,0,concat,6
ZymDC2Lt6Qo,0,0,concat,6
ZzAj2Sa5V9g,0,0,concat,6
_15hA_US02U,0,0,concat,6
_4tDGH-Jm18,0,0,concat,6
_DcZDvE7stc,0,0,concat,6
_JV4MCAC-HI,0,0,concat,6
_KDR4pftGX0,0,0,concat,6
_L7BnXaFoMg,0,0,concat,6
_M1QqgVSU24,0,0,concat,6
_Oe33S4h6HQ,0,0,concat,6
_Q-QIl2EBOs,0,0,concat,6
_Sf_gm9W6Lo,0,0,concat,6
_aKWH8i1Als,0,0,concat,6
_bE7E5Pcuts,0,0,concat,6
_e8c6AMIc0c,0,0,concat,6
_llGhqw-ViE,0,0,concat,6
_mZb9Uet2EA,0,0,concat,6
_sceYcrl7ZU,0,0,concat,6
_tDu2TubVOA,0,0,concat,6
_w_JWT7Qme0,0,0,concat,6
_wqTuLJyXHU,0,0,concat,6
a8gsA3AqFTY,0,0,concat,6
aDYKqopoJL8,0,0,concat,6
aG5bDOylnjw,0,0,concat,6
aL9OlyoLFbQ,0,0,concat,6
aXBBKNSiZsw,0,0,concat,6
aaVjKV_8ZFE,0,0,concat,6
adnnN6OlYjo,0,0,concat,6
adyam9bXO0U,0,0,concat,6
aeBWiTMyqHE,0,0,concat,6
agr35QJ3fLQ,0,0,concat,6
ariirlftlPg,0,0,concat,6
b7ju3kx7CEA,0,0,concat,6
